headline,name,rating,total_ratings,tags
,Indian Coffee House,78/100,8075,"['Restaurants', 'Asian', 'Vegan Options', 'Indian', 'Gluten Free Options', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options', 'Vegetarian Friendly', 'Dinner', 'Brunch', 'Lunch', 'Breakfast', 'Café', 'Indian', 'Asian', 'Takeout', 'Table Service', 'Seating', 'Dinner', 'Brunch', 'Breakfast', 'Lunch', 'Mid-range']"
,Kwality Restaurant,81/100,4140,"['Restaurants', 'Asian', 'Vegan Options', 'Indian', 'Vegetarian Friendly', 'Vegan Options', 'Vegetarian Friendly', 'Dinner', 'Brunch', 'After-hours', 'Lunch', 'Sit down', 'Asian', 'Indian', 'Delivery', 'Table Service', 'Reservations', 'Seating', 'Takeout', 'Brunch', 'After-hours', 'Lunch', 'Dinner', 'Mid-range']"
,Param Food Complex,81/100,3299,"['Restaurants', 'Fast Food', 'Indian', 'Vegetarian Friendly', 'Vegan Options', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Lunch', 'Breakfast', 'Dinner', 'Brunch', 'Cakes', 'Sit down', 'Indian', 'Fast food', 'Asian', 'Takeout', 'Reservations', 'Delivery', 'Table Service', 'Seating', 'Lunch', 'Dinner', 'Breakfast', 'Brunch', 'Mid-range']"
,Alfanzo,77/100,3041,"['Bakeries', 'Dessert', 'Coffee & Tea', 'Indian', 'Chinese', 'Lunch', 'Brunch', 'Dinner', 'Sit down', 'Indian', 'Chinese', 'Accepts American Express', 'Cash Only', 'Takeout', 'Parking Available', 'Table Service', 'Accepts Visa', 'Accepts Credit Cards', 'Wheelchair Accessible', 'Street Parking', 'Delivery', 'Seating', 'Validated Parking', 'Accepts Mastercard', 'Digital Payments', 'Reservations', 'Lunch', 'Brunch', 'Dinner', 'Mid-range']"
,Indish,88/100,2798,"['Restaurants', 'Cafe', 'Gluten Free Options', 'Chinese', 'Mexican', 'Italian', 'Vegetarian Friendly', 'Indian', 'Vegan Options', 'Thai', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options', 'Dinner', 'Breakfast', 'Lunch', 'Drinks', 'Sit down', 'Indian', 'Mexican', 'Italian', 'Asian', 'Chinese', 'Thai', 'Table Service', 'Reservations', 'Highchairs Available', 'Seating', 'Validated Parking', 'Dinner', 'Drinks', 'Lunch', 'Breakfast', 'Mid-range']"
,Panchavati Gaurav,81/100,2543,"['Restaurants', 'Indian', 'Indian']"
,Shere Punjab Restaurant,75/100,2472,"['Restaurants', 'Indian', 'Chinese', 'Indian', 'Chinese', 'Reservations', 'Mid-range']"
,Hangout Cafe,81/100,2438,"['Restaurants', 'Afghani', 'Pizza', 'Middle Eastern', 'Swiss', 'Chinese', 'Afghan', 'European', 'Dinner', 'Lunch', 'Swiss', 'European', 'Pizza', 'Chinese', 'Afghan', 'Middle Eastern', 'Lunch', 'Dinner']"
,S S Kachoriwala,81/100,2524,"['Restaurants', 'Quick Bites', 'Fast Food', 'Vegetarian Friendly', 'Indian', 'Vegetarian Friendly', 'Breakfast', 'Indian', 'Takeout', 'Breakfast', 'Cheap Eats']"
,Volga Restaurant,70/100,2125,"['Restaurants', 'Chinese', 'Indian', 'Dinner', 'Lunch', 'Breakfast', 'Sit down', 'Indian', 'Chinese', 'Dinner', 'Lunch', 'Breakfast', 'Fine Dining']"
,Captain's Cafe,78/100,2029,"['Restaurants', 'Fast Food', 'Cafe', 'Vegan Options', 'Vegetarian Friendly', 'Vegan Options', 'Vegetarian Friendly', 'Brunch', 'Lunch', 'Breakfast', 'Dinner', 'Pasta', 'Café', 'Fast food', 'Café', 'Seating', 'Takeout', 'Table Service', 'Breakfast', 'Lunch', 'Dinner', 'Brunch', 'Mid-range']"
,Swad Restaurant,80/100,2004,"['Restaurants', 'Dinner', 'Table Service', 'Reservations', 'Seating', 'Dinner']"
,Rajasthani Bhojanalaya,79/100,1974,"['Restaurants', 'Indian', 'Indian']"
,Momo Adda,84/100,2519,"['Restaurants', 'Fast Food', 'Fast food']"
,Pleasure Restaurant,74/100,1898,"['Restaurants', 'Dinner', 'Lunch']"
,7 Spice Restaurant,70/100,1878,"['Restaurants', 'Thai', 'Thai', 'Mid-range']"
,10 Downing Street,79/100,1763,"['Restaurants', 'Dinner']"
,The Mansingh,74/100,1760,"['Restaurants', 'Indian', 'Asian', 'Vegetarian Friendly', 'Vegetarian Friendly', 'Dinner', 'Lunch', 'Kabobs', 'Sit down', 'Indian', 'Asian', 'Seating', 'Wheelchair Accessible', 'Table Service', 'Reservations', 'Dinner', 'Lunch', 'Mid-range']"
,Bolevard 69 Cafe And Restro,81/100,1754,"['Restaurants', 'Chinese', 'Indian', 'Vegetarian Friendly', 'Cafe', 'Vegetarian Friendly']"
,Cocina Highway Retreat,71/100,1739,"['Restaurants', 'Dinner', 'Lunch', 'Dinner', 'Lunch']"
,Bahadura Sweets,91/100,2693,"['Dessert', 'Vegetarian Friendly', 'Indian', 'Vegan Options', 'Vegan Options', 'Vegetarian Friendly', 'Breakfast', 'Indian', 'Takeout', 'Breakfast', 'Mid-range']"
,Panchavati Gaurav Gwalior,85/100,1591,"['Restaurants', 'Asian', 'Vegan Options', 'Indian', 'Vegetarian Friendly', 'Vegan Options', 'Vegetarian Friendly', 'Dinner', 'Brunch', 'Lunch', 'Sit down', 'Indian', 'Asian', 'Accepts Mastercard', 'Street Parking', 'Delivery', 'Television', 'Digital Payments', 'Table Service', 'Accepts Visa', 'Buffet', 'Reservations', 'Cash Only', 'Takeout', 'Parking Available', 'Seating', 'Lunch', 'Dinner', 'Brunch', 'Mid-range']"
,Barista Gwalior,74/100,1559,"['Coffee & Tea', 'Contemporary', 'Cafe', 'Contemporary']"
,Dilli Parathewala,70/100,1555,"['Restaurants', 'Asian', 'Indian', 'Dinner', 'Lunch', 'Sit down', 'Indian', 'Seating', 'Lunch', 'Mid-range']"
,Cafe Hungry Birds,70/100,1537,"['Restaurants', 'Indian', 'Indian', 'Mid-range']"
,Pandit Sweets,79/100,1367,"['Restaurants', 'Indian', 'Sit down', 'Indian', 'Mid-range']"
,Cafe Prizon,78/100,2274,"['Restaurants', 'Fast Food', 'Lunch', 'Dinner', 'Fast food', 'Lunch', 'Dinner']"
,Mcdonalds,73/100,1326,"['Restaurants', 'Fast Food', 'Vegetarian Friendly', 'Vegetarian Friendly', 'Brunch', 'Dinner', 'Burger', 'Fast food', 'Wheelchair Accessible', 'Brunch', 'Dinner', 'Mid-range']"
,Bakeology Eggless Bakery,92/100,1295,['Bakeries']
,Panchvati Restaurant,81/100,1294,"['Restaurants', 'Reservations', 'Mid-range']"
,Shree Bhukkads A Food Lounge,78/100,970,"['Restaurants', 'Vegan Options', 'Chinese', 'Fast Food', 'Indian', 'Vegetarian Friendly', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Lunch', 'Brunch', 'Dinner', 'Sit down', 'Asian', 'Chinese', 'Indian', 'Fast food', 'Accepts Visa', 'Free Wifi', 'Reservations', 'Cash Only', 'Parking Available', 'Television', 'Digital Payments', 'Table Service', 'Street Parking', 'Takeout', 'Free off-street parking', 'Seating', 'Lunch', 'Dinner', 'Mid-range']"
,Cafe Prizon,78/100,2274,"['Restaurants', 'Fast Food', 'Lunch', 'Dinner', 'Fast food', 'Lunch', 'Dinner']"
,Indian Coffee House,78/100,8075,"['Restaurants', 'Gluten Free Options', 'Vegetarian Friendly', 'Asian', 'Vegan Options', 'Indian', 'Vegan Options', 'Gluten Free Options', 'Vegetarian Friendly', 'Breakfast', 'Dinner', 'Brunch', 'Lunch', 'Café', 'Indian', 'Asian', 'Takeout', 'Table Service', 'Seating', 'Lunch', 'Dinner', 'Brunch', 'Breakfast', 'Mid-range']"
,Lazeez Restaurant,77/100,257,"['Restaurants', 'Asian', 'Brunch', 'Dinner', 'Table Service', 'Reservations', 'Dinner', 'Brunch', 'Mid-range']"
,Alfanzo,77/100,3041,"['Coffee & Tea', 'Bakeries', 'Dessert', 'Indian', 'Chinese', 'Lunch', 'Brunch', 'Dinner', 'Sit down', 'Indian', 'Chinese', 'Validated Parking', 'Accepts Mastercard', 'Digital Payments', 'Reservations', 'Accepts American Express', 'Cash Only', 'Takeout', 'Parking Available', 'Table Service', 'Accepts Visa', 'Accepts Credit Cards', 'Wheelchair Accessible', 'Street Parking', 'Delivery', 'Seating', 'Lunch', 'Brunch', 'Dinner', 'Mid-range']"
,Icekraft,77/100,343,"['Dessert', 'Indian', 'Asian', 'Cafe', 'Asian', 'Café', 'Indian', 'Mid-range']"
,Street Food,77/100,47,"['Restaurants', 'Healthy']"
,Rajbhog Restaurant,77/100,192,"['Restaurants', 'Indian', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Vegetarian Friendly', 'Vegan Options', 'Dinner', 'Lunch', 'Indian', 'Asian', 'Reservations', 'Takeout', 'Seating', 'Dinner', 'Lunch', 'Mid-range']"
,Vyanjan The Family Restaurant,76/100,610,"['Restaurants', 'Dinner', 'Lunch', 'Lunch', 'Dinner']"
,Sugar Palm Restaurant,76/100,859,"['Restaurants', 'International', 'International']"
,Punjabi Zyaka,76/100,1215,"['Restaurants', 'Indian', 'Asian', 'Vegan Options', 'Vegan Options', 'Brunch', 'Dinner', 'Lunch', 'Sit down', 'Indian', 'Asian', 'Accepts Visa', 'Cash Only', 'Takeout', 'Parking Available', 'Accepts Mastercard', 'Digital Payments', 'Table Service', 'Street Parking', 'Reservations', 'Television', 'Free off-street parking', 'Seating', 'Lunch', 'Dinner', 'Brunch', 'Mid-range']"
,The Mirchi Restaurant,76/100,167,"['Restaurants', 'Vegetarian Friendly', 'Asian', 'Chinese', 'Vegetarian Friendly', 'Chinese', 'Reservations', 'Mid-range']"
,Punjabi Food Factory,75/100,184,"['Restaurants', 'Chinese', 'Fast Food', 'Indian', 'Sit down', 'Indian', 'Fast food', 'Mid-range']"
,Mughal Darbar,75/100,1031,"['Restaurants', 'Indian', 'Indian']"
,Tansen Restaurant,75/100,53,"['Restaurants', 'Asian', 'Vegan Options', 'Indian', 'Vegetarian Friendly', 'Vegan Options', 'Vegetarian Friendly', 'Dinner', 'Breakfast', 'Lunch', 'Asian', 'Indian', 'Table Service', 'Seating', 'Reservations', 'Serves Alcohol', 'Breakfast', 'Lunch', 'Dinner', 'Mid-range']"
,Shere Punjab Restaurant,75/100,2472,"['Restaurants', 'Indian', 'Chinese', 'Chinese', 'Indian', 'Reservations', 'Mid-range']"
,Indian Fried Chicken,74/100,486,['Restaurants']
,The Mansingh,74/100,1760,"['Restaurants', 'Vegetarian Friendly', 'Indian', 'Asian', 'Vegetarian Friendly', 'Dinner', 'Lunch', 'Kabobs', 'Sit down', 'Indian', 'Asian', 'Reservations', 'Seating', 'Wheelchair Accessible', 'Table Service', 'Lunch', 'Dinner', 'Mid-range']"
,Barista Gwalior,74/100,1559,"['Coffee & Tea', 'Contemporary', 'Cafe', 'Contemporary']"
,Pleasure Restaurant,74/100,1898,"['Restaurants', 'Dinner', 'Lunch']"
,Mcdonalds,73/100,1326,"['Restaurants', 'Fast Food', 'Vegetarian Friendly', 'Vegetarian Friendly', 'Brunch', 'Dinner', 'Burger', 'Fast food', 'Wheelchair Accessible', 'Brunch', 'Dinner', 'Mid-range']"
,Cafe Bliss,73/100,35,"['Coffee & Tea', 'Cafe', 'Fast Food', 'Fusion', 'American', 'Lunch', 'Dinner', 'Café', 'Café', 'Fusion', 'Fast food', 'American', 'Seating', 'Lunch', 'Dinner', 'Mid-range']"
,Victorian Vantage,72/100,756,"['Restaurants', 'Italian', 'Fast Food', 'Chinese', 'Indian', 'Italian', 'Fast food', 'Chinese', 'Indian']"
,Mehak Restaurant,72/100,246,"['Restaurants', 'Italian', 'Indian', 'Chinese', 'Dinner', 'Breakfast', 'Lunch', 'Sit down', 'Indian', 'Chinese', 'Italian', 'Dinner', 'Lunch', 'Breakfast', 'Cheap Eats']"
,22 Street Kitchen,71/100,32,"['Restaurants', 'Fast Food', 'Indian', 'Breakfast', 'Lunch', 'Dinner', 'Sit down', 'Indian', 'Fast food', 'Dinner', 'Breakfast', 'Lunch', 'Cheap Eats']"
,Cocina Highway Retreat,71/100,1739,"['Restaurants', 'Dinner', 'Lunch', 'Lunch', 'Dinner']"
,Cafe Hungry Birds,70/100,1537,"['Restaurants', 'Indian', 'Indian', 'Mid-range']"
,Zayka Restaurant,70/100,710,"['Restaurants', 'Vegetarian Friendly', 'Asian', 'Vegetarian Friendly', 'Dinner', 'Table Service', 'Reservations', 'Dinner', 'Mid-range']"
,Dilli Parathewala,70/100,1555,"['Restaurants', 'Indian', 'Asian', 'Dinner', 'Lunch', 'Sit down', 'Indian', 'Seating', 'Lunch', 'Mid-range']"
,City Food Court,70/100,443,"['Restaurants', 'Chinese', 'Dinner', 'Lunch', 'Dinner', 'Lunch', 'Mid-range']"
,Volga Restaurant,70/100,2125,"['Restaurants', 'Chinese', 'Indian', 'Breakfast', 'Dinner', 'Lunch', 'Sit down', 'Chinese', 'Indian', 'Breakfast', 'Dinner', 'Lunch', 'Fine Dining']"
,Wings Bbq Sky Lounge,70/100,15,"['Restaurants', 'Cafe', 'Grill', 'Fast Food', 'Indian', 'Central-Italian', 'Café', 'Café', 'Grill', 'Fast food', 'Indian', 'Central-Italian', 'Cheap Eats']"
,Salt N Pepper Restaurant,70/100,866,"['Restaurants', 'Chinese', 'Asian', 'Dinner', 'Lunch', 'Asian', 'Chinese', 'Table Service', 'Mid-range']"
,Chaiops - Gwalior,100/100,4,"['Coffee & Tea', 'Chinese', 'Cafe', 'Café', 'Chinese']"
,Chotelaal Kachoriwale,97/100,10,"['Restaurants', 'Indian', 'Indian']"
,Maa Vaishno Food Corner,95/100,20,"['Restaurants', 'Chinese', 'Fast Food', 'Indian', 'Sit down', 'Indian', 'Fast food', 'Chinese', 'Cheap Eats']"
,Erica Cafe,94/100,37,"['Restaurants', 'European', 'Chinese', 'Indian', 'Sit down', 'Indian', 'Chinese', 'European', 'Cheap Eats']"
,Route Family Restaurant,92/100,122,"['Restaurants', 'Chinese', 'Indian', 'Dinner', 'Lunch', 'Chinese', 'Indian', 'Lunch', 'Dinner']"
,Bakeology Eggless Bakery,92/100,1295,['Bakeries']
,Jai Mahakal Restaurant,90/100,3,"['Restaurants', 'Asian']"
,Wroofers,88/100,89,"['Restaurants', 'Fast Food', 'Asian', 'Fine Dining']"
,Sweet Sins,86/100,840,"['Restaurants', 'Cafe', 'Café']"
,Shankar Kulfi,86/100,71,"['Restaurants', 'Ice Cream', 'Fast food', 'Cheap Eats']"
,Handi Restaurant,84/100,1,"['Restaurants', 'Cafe', 'Chinese', 'Indian', 'Sit down', 'Indian', 'Café', 'Chinese', 'Cheap Eats']"
,Dev Yadav Restaurant,83/100,167,['Restaurants']
,Burger Point,82/100,478,"['Restaurants', 'Indian', 'Indian']"
,Panchavati Gaurav,81/100,2543,"['Restaurants', 'Indian', 'Indian']"
,Chawla Restaurant,80/100,1,"['Restaurants', 'Indian', 'Indian']"
,Tekan Treat Restaurant,80/100,253,"['Restaurants', 'Indian', 'Chinese', 'Mexican', 'Middle Eastern', 'Afghani', 'Afghan', 'Cafe', 'Dinner', 'Breakfast', 'Lunch', 'Mexican', 'Café', 'Afghan', 'Middle Eastern', 'Chinese', 'Indian', 'Dinner', 'Lunch', 'Breakfast']"
,Swad Restaurant,80/100,7,"['Restaurants', 'Vegetarian Friendly', 'Asian', 'Vegetarian Friendly', 'Reservations', 'Mid-range']"
,Eatology Restaurant,80/100,21,"['Restaurants', 'Italian', 'Mexican', 'Chinese', 'Thai', 'Indian', 'Sit down', 'Italian', 'Thai', 'Chinese', 'Indian', 'Mexican', 'Cheap Eats']"
,Raj Bhog Restaurant,80/100,1,['Restaurants']
,Jai Maa Kkali Restaurant,80/100,24,"['Restaurants', 'Indian', 'Indian']"
,Chitrakoot Mishthan Bhandar,78/100,9,['Restaurants']
,Spice Tadka,78/100,28,"['Restaurants', 'Indian', 'Indian']"
,Mejbaan Reastaurant,78/100,43,"['Restaurants', 'Thai', 'African', 'Chinese', 'Southwestern', 'Indian']"
,Perk & Puff,76/100,26,"['Restaurants', 'Mexican', 'Indian', 'Fast Food', 'Chinese', 'Cafe', 'Indian', 'Fast food', 'Chinese', 'Mexican', 'Café']"
,Posham Pa Cafe - Gwalior's 1st Organic Cafe,76/100,240,"['Restaurants', 'Mexican', 'Indian', 'American', 'Italian', 'Cafe', 'Italian', 'American', 'Indian', 'Mexican', 'Café']"
,Sai Bhoj Restaurant,74/100,851,"['Restaurants', 'Indian', 'Asian', 'Sit down', 'Indian', 'Reservations', 'Mid-range']"
,Chaudhary Ka Dhaba,73/100,50,"['Restaurants', 'Indian', 'Sit down', 'Indian', 'Mid-range']"
,The Tea Time,71/100,1116,"['Restaurants', 'Fast Food', 'Fast food']"
,Dils Chawla Chicken,71/100,343,"['Restaurants', 'Fast Food', 'Mid-range']"
,7 Spice Restaurant,70/100,1878,"['Restaurants', 'Thai', 'Thai', 'Mid-range']"
,Agan Food Plaza,70/100,32,"['Restaurants', 'Indian', 'Indian']"
,R Cube Cafe,70/100,,"['Restaurants', 'Indian', 'Indian']"
,Royal Rajput Hotel,70/100,22,"['Restaurants', 'Middle Eastern', 'Afghani', 'Chinese', 'Indian', 'Afghan', 'Sit down', 'Indian', 'Afghan', 'Chinese', 'Middle Eastern', 'Cheap Eats']"
,Baba Ki Kutiaa Restaurant,70/100,7,"['Restaurants', 'Reservations', 'Mid-range']"
,Sajal Restaurant,70/100,45,"['Restaurants', 'Mid-range']"
